Pop,Change,Child,Lunch,ChgInc,Income,Crime,ChgCrime,Year,Counsellor
6.9,1.8,30.2,58.3,27.3,"$51,338",84.9,-14.2,06/08/1971,Williams
8.4,28.5,38.8,87.5,39.8,"$50,625",172.6,-34.1,24/07/1973,Jones
5.7,7.8,31.7,83.5,26.0,"$54,825",154.2,-15.8,21/05/1963,Langlois
7.4,2.3,24.2,14.2,29.4,"$60,370",35.2,-13.9,11/02/1976,Langlois
8.5,-0.7,28.1,46.7,26.6,"$54,365",69.2,-13.9,08/07/1951,Langlois
13.8,7.2,10.4,57.9,26.2,"$22,904",111.0,-22.6,20/07/1948,Williams
1.7,32.2,7.5,73.8,50.5,"$45,970",704.1,-40.9,26/03/1943,Langlois
3.6,7.4,30.0,61.3,26.4,"$55,475",69.9,4.0,19/06/2006,Langlois
8.2,10.2,12.1,41.0,11.7,"$43,404",65.4,-32.5,17/10/1945,Johnson
5.0,10.5,13.6,17.4,14.7,"$34,979",132.1,-8.1,27/02/1975,Johnson
2.1,0.3,18.3,34.4,24.2,"$49,552",179.9,12.3,15/10/1957,Johnson
4.2,8.1,21.3,64.9,21.7,"$28,783",139.9,-35.0,22/04/1988,Johnson
3.9,2.0,33.1,82.0,26.3,"$50,328",108.7,-2.0,29/08/1989,Jones
4.1,10.8,38.3,83.3,32.6,"$35,553",123.2,-2.2,18/02/1993,Johnson
4.2,1.9,36.9,61.8,21.6,"$26,436",104.7,-14.2,10/10/1989,Jones
9.4,-1.5,22.4,22.2,33.5,"$35,247",61.5,-32.7,12/10/1971,Williams
3.6,-0.3,19.6,8.6,27.0,"$37,550",68.2,-13.4,11/02/1980,Jones
7.6,5.5,29.1,62.8,32.2,"$67,432",96.9,-8.7,13/05/1962,Langlois
8.5,4.8,32.8,86.2,16.0,"$50,443",258.0,0.5,13/04/1998,Williams
7.5,2.3,26.5,18.7,23.7,"$32,463",32.0,-0.6,24/09/1992,Williams
4.1,17.3,41.5,78.6,23.5,"$27,259",127.0,-12.5,15/02/1998,Jones
4.6,68.6,39.0,14.6,38.2,"$42,693",27.1,45.4,13/01/2002,Williams
7.2,3.0,20.2,41.4,27.6,"$32,889",70.7,-38.2,19/01/1989,Johnson
13.4,7.1,20.4,13.9,22.5,"$45,546",38.3,-33.6,16/03/1984,Langlois
10.3,1.4,29.8,43.7,29.4,"$42,344",54.0,-10.0,04/06/1951,Jones
9.4,4.6,36.0,78.2,29.9,"$48,973",101.5,-14.6,12/12/1992,Williams
2.5,-3.3,37.6,88.5,27.5,"$32,040",185.9,-7.6,23/03/1996,Langlois
10.3,-0.5,31.8,57.2,27.2,"$53,242",61.2,-17.6,24/09/1993,Langlois
7.5,22.3,28.6,5.7,31.3,"$45,088",38.6,27.2,15/03/1992,Langlois
18.7,6.2,39.7,55.8,28.7,"$43,562",52.6,-2.9,24/01/1948,Johnson
5.1,-2.0,23.8,29.0,29.3,"$27,050",62.6,-10.3,24/08/1982,Johnson
3.7,19.6,12.3,77.3,32.0,"$43,462",207.7,-45.6,26/06/1969,Johnson
10.3,3.0,31.1,51.7,26.2,"$44,819",42.4,-31.9,20/01/2002,Williams
7.3,19.2,32.9,68.1,25.2,"$46,327",105.2,-35.7,04/03/1989,Jones
4.2,7.0,22.1,41.2,21.4,"$35,928",68.6,-8.8,01/04/1961,Williams
2.1,5.4,27.1,60.0,23.5,"$48,975",157.3,6.2,05/01/1988,Langlois
2.5,2.8,20.3,29.8,24.1,"$59,489",58.5,-27.5,08/11/1954,Jones
8.1,8.5,30.0,66.4,26.0,"$58,324",63.1,-37.4,30/06/1962,Langlois
10.3,-1.9,15.9,39.9,38.5,"$30,889",86.4,-13.5,19/06/2001,Johnson
10.5,2.8,36.4,72.3,26.0,"$46,963",77.5,-21.6,17/12/1982,Williams
5.8,2.0,24.2,19.5,28.3,"$44,076",63.5,2.2,31/07/1974,Williams
6.9,2.9,20.7,6.6,25.8,"$50,635",68.9,-2.4,29/10/1968,Langlois
9.3,4.9,34.9,82.4,18.4,"$25,279",102.8,-12.0,12/11/1981,Langlois
11.4,2.6,38.7,78.2,18.4,"$46,906",86.6,-12.8,03/11/1953,Williams
