
"Products","October 2023","November 2023","December 2023","Dollars"
"Beef stewing cuts, per kilogram 4","17.66","20.48","19.70"
"Beef striploin cuts, per kilogram 4","25.47","23.95","20.67"
"Beef top sirloin cuts, per kilogram 4","20.04","21.18","23.21"
"Beef rib cuts, per kilogram 4","23.17","31.43","26.23"
"Ground beef, per kilogram 4","11.82","11.72","12.71"
"Pork loin cuts, per kilogram 4","8.99","8.78","9.19"
"Pork rib cuts, per kilogram 4","8.72","9.21","9.71"
"Pork shoulder cuts, per kilogram 4","6.74","7.43","7.23"
"Whole chicken, per kilogram 4","6.74","5.90","6.47"
"Chicken breasts, per kilogram 4","14.06","14.10","12.71"
"Chicken thigh, per kilogram 4","12.41","11.82","13.06"
"Chicken drumsticks, per kilogram 4","7.25","6.07","8.26"
"Bacon, 500 grams 5","6.90","6.67","7.00"
"Wieners, 400 grams 5","3.89","3.95","4.15"
"Salmon, per kilogram 4","26.11","24.21","24.45"
"Shrimp, 300 grams 5","7.66","7.59","7.84"
"Canned salmon, 213 grams 5","4.96","4.86","4.65"
"Canned tuna, 170 grams 4","1.66","1.82","1.88"
"Meatless burgers, 226 grams 5","6.09","5.80","6.15"
"Milk, 1 litre 4","2.96","2.94","2.96"
"Milk, 2 litres 4","5.08","5.10","5.13"
"Milk, 4 litres 4","6.38","6.40","6.42"
"Soy milk, 1.89 litres 5","4.36","4.08","4.38"
"Nut milk, 1.89 litres 5","4.22","3.92","4.19"
"Cream, 1 litre 4","4.46","4.41","4.35"
"Butter, 454 grams 4","6.12","5.91","6.09"
"Margarine, 907 grams 5","7.47","7.25","7.55"
"Block cheese, 500 grams 5","6.50","6.89","6.29"
"Yogurt, 500 grams 5","3.26","3.20","3.41"
"Eggs, 1 dozen 4","4.47","4.65","4.41"
"Apples, per kilogram 4","4.63","5.00","5.78"
"Oranges, per kilogram 4","3.76","3.83","4.13"
"Oranges, 1.36 kilograms 4 5","5.46","5.46","5.88"
"Bananas, per kilogram 4","1.68","1.67","1.67"
"Pears, per kilogram 4","5.79","4.53","5.73"
"Lemons, unit 4","0.86","0.91","0.96"
"Limes, unit 4","0.80","0.85","0.87"
"Grapes, per kilogram 4","7.55","8.52","9.01"
"Cantaloupe, unit 4","4.06","4.18","3.80"
"Strawberries, 454 grams 5","3.83","5.38","6.01"
"Avocado, unit 4","2.24","2.04","2.00"
"Potatoes, 4.54 kilograms 4","3.93","5.03","5.04"
"Potatoes, per kilogram 4","4.99","4.97","5.08"
"Sweet potatoes, per kilogram 4","3.34","4.08","3.42"
"Tomatoes, per kilogram 4","4.79","5.17","5.64"
"Cabbage, per kilogram 4","2.32","2.43","2.43"
"Carrots, 1.36 kilograms 5","3.68","3.65","3.62"
"Onions, per kilogram 4","5.23","5.24","5.47"
"Onions, 1.36 kilograms 5","4.35","4.16","4.32"
"Celery, unit 4","2.96","3.53","3.35"
"Cucumber, unit 4","1.83","1.89","1.86"
"Mushrooms, 227 grams 5","2.38","2.33","2.27"
"Iceberg lettuce, unit 4","2.94","3.06","3.11"
"Romaine lettuce, unit 4","2.51","2.96","2.99"
"Broccoli, unit 4","2.33","2.87","2.68"
"Peppers, per kilogram 4","7.37","8.57","9.02"
"Squash, per kilogram 4","3.13","3.76","4.10"
